id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,method,umpire1,umpire2
1216498.0,,2020-09-25,PP Shaw,venue,0,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Delhi Capitals,runs,12.0,N,,KN Ananthapadmanabhan,PR Reiffel
1216499.0,Abu Dhabi,2020-09-26,Shubman Gill,venue,0,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,runs,5.0,N,,CB Gaffaney,CB Gaffaney
1216500.0,,2020-09-27,SV Samson,venue,0,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,runs,46.0,N,,RK Illingworth,C Shamshuddin
1216501.0,,2020-09-28,AB de Villiers,venue,0,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,,runs,10.0,N,,Nitin Menon,RK Illingworth
1216502.0,Abu Dhabi,2020-09-29,Rashid Khan,venue,0,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,runs,5.0,N,,VK Sharma,K Srinivasan
1216503.0,,2020-09-30,Shivam Mavi,venue,0,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,runs,48.0,N,,KN Ananthapadmanabhan,S Ravi
1216504.0,Abu Dhabi,2020-10-01,KA Pollard,venue,0,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,runs,37.0,N,,VK Sharma,C Shamshuddin
1216505.0,,2020-10-02,PK Garg,venue,0,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,6.0,N,,AK Chaudhary,S Ravi
1216506.0,,2020-10-03,SS Iyer,venue,0,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,runs,9.0,N,,VA Kulkarni,VK Sharma
1216507.0,Abu Dhabi,2020-10-03,YS Chahal,venue,0,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,runs,5.0,N,,CB Gaffaney,PR Reiffel
1216508.0,,2020-10-04,TA Boult,venue,0,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,runs,49.0,N,,KN Ananthapadmanabhan,S Ravi
1216509.0,,2020-10-04,SR Watson,venue,0,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,runs,5.0,N,,AY Dandekar,RK Illingworth
1216510.0,,2020-10-05,AR Patel,venue,0,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Capitals,runs,97.0,N,,Nitin Menon,PR Reiffel
1216511.0,Abu Dhabi,2020-10-06,SA Yadav,venue,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,runs,57.0,N,,VK Sharma,S Ravi
1216512.0,Abu Dhabi,2020-10-07,RA Tripathi,venue,0,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,,Y,,KN Ananthapadmanabhan,S Ravi
1216513.0,,2020-10-08,JM Bairstow,venue,0,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,10.0,N,,AK Chaudhary,Nitin Menon
1216514.0,,2020-10-09,R Ashwin,venue,0,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,runs,8.0,N,,KN Ananthapadmanabhan,S Ravi
1216515.0,Abu Dhabi,2020-10-10,KD Karthik,venue,0,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,18.0,N,,UV Gandhe,RK Illingworth
1216516.0,,2020-10-10,V Kohli,venue,0,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,7.0,N,,AK Chaudhary,PR Reiffel
1216517.0,Abu Dhabi,2020-10-11,Q de Kock,venue,0,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,runs,,Y,,CB Gaffaney,PR Reiffel
1216518.0,,2020-10-11,R Tewatia,venue,0,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,runs,8.0,N,,YC Barde,PR Reiffel
1216519.0,,2020-10-12,AB de Villiers,venue,0,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,59.0,N,,RK Illingworth,YC Barde
1216520.0,,2020-10-13,RA Jadeja,venue,0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,runs,8.0,N,,AK Chaudhary,RK Illingworth
1216521.0,,2020-10-14,A Nortje,venue,0,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,runs,10.0,N,,AK Chaudhary,VA Kulkarni
1216522.0,,2020-10-15,KL Rahul,venue,0,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,runs,7.0,N,,KN Ananthapadmanabhan,Nitin Menon
1216523.0,Abu Dhabi,2020-10-16,Q de Kock,venue,0,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,runs,2.0,N,,CB Gaffaney,CB Gaffaney
1216524.0,,2020-10-17,AB de Villiers,venue,0,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,runs,88.0,N,,AK Chaudhary,Nitin Menon
1216525.0,,2020-10-17,S Dhawan,venue,0,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,runs,37.0,N,,KN Ananthapadmanabhan,PR Reiffel
1216526.0,,2020-10-18,KL Rahul,venue,0,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,,runs,8.0,N,,Nitin Menon,VK Sharma
1216527.0,Abu Dhabi,2020-10-18,LH Ferguson,venue,0,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,,runs,4.0,N,,PG Pathak,K Srinivasan
1216528.0,Abu Dhabi,2020-10-19,JC Buttler,venue,0,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,runs,20.0,N,,CB Gaffaney,PR Reiffel
1216529.0,,2020-10-20,S Dhawan,venue,0,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,Kings XI Punjab,runs,5.0,N,,C Shamshuddin,S Ravi
1216530.0,Abu Dhabi,2020-10-21,Mohammed Siraj,venue,0,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore,runs,60.0,N,,VK Sharma,PR Reiffel
1216531.0,,2020-10-22,MK Pandey,venue,0,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,runs,8.0,N,,Nitin Menon,C Shamshuddin
